TransactionID,OrderID,TransactionDate,TransactionTime,DayOfWeek,Month,Quarter,Year,CustomerID,CustomerAgeGroup,Subscription Member,ProductID,ProductName,Category,Season,QuantitySold,UnitSalePrice,UnitCost,Revenue,TotalCost,Profit,GrossMarginPercent,WeekendFlag,StoreID,StoreLocation,City,State
TXN-00000001,ORD-0019236,1/2/2019,7:15:48,Wednesday,January,Q1,2019,CUST-00620,45-54,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000002,ORD-0019236,1/2/2019,7:15:48,Wednesday,January,Q1,2019,CUST-00620,45-54,None,CP-003,Lemon Cupcake,Cupcakes,Winter,1,4.5,0.76,4.5,0.76,3.74,83.11,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000003,ORD-0005646,1/2/2019,7:48:27,Wednesday,January,Q1,2019,CUST-01038,65-74,None,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000004,ORD-0023447,1/2/2019,9:14:00,Wednesday,January,Q1,2019,CUST-01543,45-54,None,CP-005,Peppermint Chocalate Cupcakes,Cupcakes,Winter,1,4.5,0.84,4.5,0.84,3.66,81.33,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000005,ORD-0022525,1/2/2019,10:04:34,Wednesday,January,Q1,2019,CUST-00972,65-74,None,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000006,ORD-0015700,1/2/2019,10:15:54,Wednesday,January,Q1,2019,CUST-04576,65-74,None,BR-002,Walnut Brownies,Brownies,Winter,2,3.5,0.59,7,1.18,5.82,83.14,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000007,ORD-0021280,1/2/2019,11:09:38,Wednesday,January,Q1,2019,CUST-02901,55-64,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000008,ORD-0005667,1/2/2019,11:38:52,Wednesday,January,Q1,2019,CUST-01487,75+,Mystery Box,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000009,ORD-0003988,1/2/2019,11:50:32,Wednesday,January,Q1,2019,CUST-00713,25-34,None,BR-003,Peppermint Mocha Brownies,Brownies,Winter,1,3.5,0.56,3.5,0.56,2.94,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000010,ORD-0012079,1/2/2019,12:01:27,Wednesday,January,Q1,2019,CUST-04410,65-74,None,CP-003,Lemon Cupcake,Cupcakes,Winter,3,4.5,0.76,13.5,2.28,11.22,83.11,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
